Count,AAPST,Splay,BST
0,5.30,5.64,15.80
5000000,5.27,5.63,15.80
10000000,5.26,5.63,15.80
15000000,5.25,5.63,15.80
20000000,5.25,5.63,15.80
25000000,5.25,5.63,15.80
30000000,5.25,5.63,15.80
35000000,5.23,5.62,15.80
40000000,5.24,5.63,15.80
45000000,5.25,5.64,15.80
50000000,5.24,5.63,15.80
55000000,5.23,5.63,15.80
60000000,5.24,5.63,15.80
65000000,5.23,5.63,15.80
70000000,5.23,5.62,15.80
75000000,5.23,5.63,15.80
80000000,5.23,5.63,15.80
85000000,5.23,5.62,15.80
90000000,5.23,5.63,15.80
95000000,5.24,5.64,15.80
100000000,5.23,5.63,15.80
105000000,5.23,5.63,15.80
110000000,5.23,5.63,15.80
115000000,5.24,5.64,15.80
120000000,5.22,5.63,15.80
125000000,5.22,5.62,15.80
130000000,5.23,5.63,15.80
135000000,5.24,5.64,15.80
140000000,5.22,5.63,15.80
145000000,5.23,5.63,15.80
150000000,5.22,5.62,15.80
155000000,5.23,5.63,15.80
160000000,5.23,5.64,15.80
165000000,5.23,5.63,15.80
170000000,5.22,5.62,15.80
175000000,5.22,5.62,15.80
180000000,5.23,5.63,15.80
185000000,5.22,5.63,15.80
190000000,5.22,5.62,15.80
195000000,5.23,5.63,15.80
200000000,5.22,5.63,15.80
205000000,5.23,5.63,15.80
210000000,5.22,5.63,15.80
215000000,5.23,5.63,15.80
220000000,5.23,5.63,15.80
225000000,5.23,5.63,15.80
230000000,5.23,5.63,15.80
235000000,5.23,5.63,15.80
240000000,5.22,5.62,15.80
245000000,5.23,5.63,15.80
250000000,5.22,5.63,15.80
255000000,5.22,5.63,15.80
260000000,5.23,5.63,15.80
265000000,5.22,5.63,15.80
270000000,5.22,5.63,15.80
275000000,5.23,5.63,15.80
280000000,5.22,5.63,15.80
285000000,5.22,5.63,15.80
290000000,5.22,5.63,15.80
295000000,5.22,5.63,15.80
300000000,5.22,5.63,15.80
305000000,5.23,5.64,15.80
310000000,5.23,5.64,15.80
315000000,5.23,5.64,15.80
320000000,5.22,5.63,15.80
325000000,5.22,5.62,15.80
330000000,5.22,5.63,15.80
335000000,5.22,5.62,15.80
340000000,5.22,5.62,15.80
345000000,5.22,5.63,15.80
350000000,5.22,5.64,15.80
355000000,5.22,5.62,15.80
360000000,5.21,5.62,15.80
365000000,5.22,5.63,15.80
370000000,5.23,5.64,15.80
375000000,5.22,5.63,15.80
380000000,5.22,5.63,15.80
385000000,5.23,5.64,15.80
390000000,5.22,5.63,15.80
395000000,5.22,5.63,15.80
400000000,5.22,5.63,15.80
405000000,5.22,5.63,15.80
410000000,5.22,5.63,15.80
415000000,5.22,5.63,15.80
420000000,5.22,5.63,15.80
425000000,5.22,5.63,15.80
430000000,5.22,5.63,15.80
435000000,5.22,5.63,15.80
440000000,5.22,5.63,15.80
445000000,5.22,5.63,15.80
450000000,5.23,5.63,15.80
455000000,5.23,5.64,15.80
460000000,5.23,5.64,15.80
465000000,5.23,5.64,15.80
470000000,5.22,5.63,15.80
475000000,5.23,5.63,15.80
480000000,5.22,5.63,15.80
485000000,5.23,5.64,15.80
490000000,5.22,5.63,15.80
495000000,5.22,5.63,15.80
500000000,5.23,5.64,15.80
505000000,5.21,5.62,15.80
510000000,5.22,5.63,15.80
515000000,5.22,5.63,15.80
520000000,5.22,5.63,15.80
525000000,5.22,5.63,15.80
530000000,5.22,5.63,15.80
535000000,5.22,5.63,15.80
540000000,5.22,5.63,15.80
545000000,5.23,5.64,15.80
550000000,5.23,5.64,15.80
555000000,5.22,5.63,15.80
560000000,5.22,5.63,15.80
565000000,5.21,5.62,15.80
570000000,5.22,5.63,15.80
575000000,5.22,5.63,15.80
580000000,5.22,5.63,15.80
585000000,5.21,5.62,15.80
590000000,5.22,5.64,15.80
595000000,5.23,5.64,15.80
600000000,5.22,5.63,15.80
605000000,5.21,5.62,15.80
