Count,AAPST,Splay,BST
0,45,65,17
5000000,43,67,17
10000000,42,73,17
15000000,42,67,17
20000000,40,67,17
25000000,40,65,17
30000000,40,65,17
35000000,39,65,17
40000000,40,73,17
45000000,42,67,17
50000000,40,65,17
55000000,39,67,17
60000000,39,67,17
65000000,39,69,17
70000000,40,67,17
75000000,39,67,17
80000000,40,69,17
85000000,39,67,17
90000000,39,63,17
95000000,39,67,17
100000000,39,69,17
105000000,40,65,17
110000000,40,69,17
115000000,39,67,17
120000000,39,71,17
125000000,39,69,17
130000000,39,69,17
135000000,40,69,17
140000000,39,63,17
145000000,39,67,17
150000000,39,69,17
155000000,39,65,17
160000000,39,69,17
165000000,39,67,17
170000000,39,67,17
175000000,39,73,17
180000000,39,69,17
185000000,38,67,17
190000000,39,71,17
195000000,38,65,17
200000000,39,67,17
205000000,40,67,17
210000000,39,67,17
215000000,39,67,17
220000000,39,69,17
225000000,39,67,17
230000000,40,69,17
235000000,39,69,17
240000000,41,67,17
245000000,40,67,17
250000000,39,71,17
255000000,40,67,17
260000000,39,71,17
265000000,39,73,17
270000000,39,69,17
275000000,39,67,17
280000000,38,69,17
285000000,39,69,17
290000000,38,67,17
295000000,38,67,17
300000000,39,67,17
305000000,39,67,17
310000000,39,69,17
315000000,38,67,17
320000000,38,65,17
325000000,38,65,17
330000000,39,65,17
335000000,39,67,17
340000000,39,73,17
345000000,38,71,17
350000000,38,73,17
355000000,38,67,17
360000000,38,67,17
365000000,39,67,17
370000000,38,65,17
375000000,39,75,17
380000000,38,65,17
385000000,38,67,17
390000000,39,71,17
395000000,38,67,17
400000000,38,67,17
405000000,39,69,17
410000000,39,73,17
415000000,38,71,17
420000000,38,69,17
425000000,38,71,17
430000000,39,67,17
435000000,39,69,17
440000000,38,69,17
445000000,39,65,17
450000000,38,65,17
455000000,38,69,17
460000000,40,67,17
465000000,39,67,17
470000000,37,65,17
475000000,38,67,17
480000000,38,67,17
485000000,38,67,17
490000000,39,65,17
495000000,38,67,17
500000000,38,69,17
505000000,39,69,17
510000000,38,69,17
515000000,38,67,17
520000000,38,71,17
525000000,38,67,17
530000000,38,67,17
535000000,38,67,17
540000000,38,67,17
545000000,39,67,17
550000000,38,71,17
555000000,38,67,17
560000000,38,67,17
565000000,38,69,17
570000000,39,73,17
575000000,38,67,17
580000000,38,67,17
585000000,38,69,17
590000000,39,67,17
595000000,39,77,17
600000000,38,69,17
605000000,38,65,17
610000000,38,71,17
615000000,38,69,17
620000000,38,69,17
625000000,38,75,17
630000000,38,65,17
635000000,39,65,17
640000000,38,73,17
645000000,39,65,17
650000000,37,65,17
655000000,37,75,17
660000000,38,69,17
665000000,38,67,17
670000000,38,67,17
675000000,39,69,17
680000000,38,65,17
685000000,38,69,17
690000000,39,73,17
695000000,38,67,17
700000000,38,71,17
705000000,37,65,17
710000000,38,69,17
715000000,38,67,17
720000000,37,67,17
725000000,38,67,17
730000000,38,73,17
735000000,38,71,17
740000000,38,65,17
745000000,39,65,17
750000000,38,67,17
755000000,38,67,17
760000000,38,67,17
765000000,38,65,17
770000000,38,67,17
775000000,38,75,17
780000000,37,71,17
785000000,39,65,17
790000000,38,69,17
795000000,38,69,17
800000000,38,69,17
805000000,39,67,17
810000000,38,69,17
815000000,38,71,17
820000000,38,65,17
825000000,38,69,17
830000000,37,67,17
835000000,38,65,17
840000000,38,69,17
845000000,38,63,17
850000000,38,65,17
855000000,38,65,17
860000000,37,63,17
865000000,39,65,17
870000000,38,71,17
875000000,37,67,17
880000000,38,71,17
885000000,38,69,17
890000000,37,77,17
895000000,38,67,17
900000000,38,67,17
905000000,38,69,17
910000000,37,71,17
915000000,38,67,17
920000000,38,71,17
925000000,38,71,17
930000000,38,71,17
935000000,37,67,17
940000000,38,71,17
945000000,37,67,17
950000000,38,65,17
955000000,38,65,17
960000000,38,79,17
965000000,38,67,17
970000000,37,69,17
975000000,38,69,17
980000000,38,71,17
985000000,38,67,17
990000000,38,69,17
995000000,38,67,17
